measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Cumbria,Police Force Area,51,2087,11568,4.408714,2.4437
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Cumbria,Police Force Area,137,3895,11568,11.84302,3.5173
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Derbyshire,Police Force Area,111,1823,33163,3.347104,6.0889
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Derbyshire,Police Force Area,91,1348,33163,2.744022,6.7507
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Derbyshire,Police Force Area,78,1681,33163,2.352019,4.6401
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Devon & Cornwall,Police Force Area,183,5969,55622,3.290065,3.0658
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Devon & Cornwall,Police Force Area,147,3894,55622,2.642839,3.775
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Devon & Cornwall,Police Force Area,157,4741,55622,2.822624,3.3115
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Dorset,Police Force Area,143,2398,41424,3.452105,5.9633
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Dorset,Police Force Area,110,1865,41424,2.655465,5.8981
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Dorset,Police Force Area,75,1645,41424,1.810545,4.5593
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Durham,Police Force Area,26,2260,12019,2.163242,1.1504
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Durham,Police Force Area,33,2060,12019,2.745653,1.6019
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Durham,Police Force Area,55,3190,12019,4.576088,1.7241
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Dyfed-Powys,Police Force Area,74,3049,12728,5.813953,2.427
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Dyfed-Powys,Police Force Area,51,2267,12728,4.006914,2.2497
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Dyfed-Powys,Police Force Area,190,7542,12728,14.92772,2.5192
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Essex,Police Force Area,1263,21622,89345,14.13621,5.8413
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Essex,Police Force Area,837,13301,89345,9.36818,6.2928
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Essex,Police Force Area,826,11943,89345,9.245061,6.9162
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Gloucestershire,Police Force Area,164,2833,28789,5.69662,5.7889
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Gloucestershire,Police Force Area,83,1702,28789,2.883046,4.8766
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Gloucestershire,Police Force Area,107,1938,28789,3.716697,5.5212
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Greater Manchester,Police Force Area,323,7885,108297,2.982539,4.0964
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Greater Manchester,Police Force Area,268,7690,108297,2.474676,3.485
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Greater Manchester,Police Force Area,935,23812,108297,8.633665,3.9266
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other White Background,ONS 2021 19+1,All,Gwent,Police Force Area,73,3979,13487,5.41262,1.8346
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,Any Other White Background,ONS 2021 19+1,All,Gwent,Police Force Area,23,1632,13487,1.705346,1.4093
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,Any Other White Background,ONS 2021 19+1,All,Gwent,Police Force Area,40,1819,13487,2.965819,2.199
